Fe,Cu,species,Si_Al,calcination_temp,calcination_time,Aging_O2,Aging_H2O,Aging_CO2,Aging_Temp,Aging_Time,NO,NH3,O2,H2O,GHSV,Measurement_Temp,Conversion
2.5,0.0,ZSM-5,25.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,501.022494887525,80.2359882005899
2.5,0.0,ZSM-5,25.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,550.102249488752,70.2064896755162
2.5,0.0,ZSM-5,40.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,200.0,3.24483775811208
2.5,0.0,ZSM-5,40.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,249.079754601226,9.73451327433628
2.5,0.0,ZSM-5,40.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,299.795501022494,42.7728613569321
2.5,0.0,ZSM-5,40.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,348.875255623721,79.0560471976401
2.5,0.0,ZSM-5,40.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,400.40899795501,82.0058997050147
2.5,0.0,ZSM-5,40.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,449.488752556237,79.9410029498525
2.5,0.0,ZSM-5,40.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,499.386503067484,80.2359882005899
2.5,0.0,ZSM-5,40.0,500.0,6.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,5.0,6.0,5.7,550.920245398773,68.4365781710914
0.27,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,198.384491114701,4.89076553001726
0.27,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,248.465266558966,10.9787455909247
0.27,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,299.35379644588,20.9783111019824
0.27,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,349.434571890145,40.0247263707138
0.27,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,398.70759289176,66.16200117707
0.27,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,498.061389337641,89.3408012766075
0.27,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,599.83844911147,92.4695166508012
0.27,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,648.303715670436,92.2013184764447
0.57,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,199.19224555735,7.09085953762476
0.57,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,250.080775444264,18.5574177137191
0.57,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,299.35379644588,36.6262328623736
